variable,LB_OR_multiple_mating,LB_OR_multiple_social,LB_OR_mating_social,UB_OR_multiple_mating,UB_OR_multiple_social,UB_OR_mating_social
Y_proclChatChild_r,0,0,0,2.46799E+13,3.07159E+13,8.08287E+12
Y_proclChatYp_r,1.791,0.855,0.084,26.968,3.521,0.833
Y_proclDui_r,2.161,2.002,0.687,5.683,5.234,1.279
Y_proclGiftChild_r,0,0,0,1.47475E+13,1.47475E+13,2.18276E+12
Y_proclGiftYp_r,0,0.536,0,2.87079E+13,3.3194E+13,6.5071E+12
Y_proclKill_r,2.665,0.844,0.144,10.017,2.089,0.434
Y_proclPornChildDarknet_r,1.547,0.585,0,4.783E+13,3.41668E+13,9.89486E+11
Y_proclPornChild_r,1.454,0.462,0,5.28077E+13,11.045,1.175
Y_proclPornYp_r,2.467,0.875,0.023,71.046,3.588,0.628
Y_proclProstitute_r,3.578,1.325,0.187,12.09,3.185,0.554
Y_proclPublic_r,3.794,2.129,0.27,12.241,5.398,0.87
Y_proclRape_r,1.23,0.626,0,6.78756E+13,6.107,1.168
Y_proclRob_r,1.817,1.595,0.616,4.893,4.194,1.136
Y_proclSexChild_r,0,0,0,2.45087E+13,2.41289E+13,3.66437E+12
Y_proclSexYp_r,1.307,0.897,0.314,5.342,2.944,1.18
Y_proclSpeed_r,0.605,0.644,0.524,7.9,7.388,1.827
Y_proclZoo_r,1.619,1.505,0,5.55628E+13,5.27257E+13,5.9633E+12
